location,description
EGT0138-EV-BTL01GU201-A81,DC Charger SECC
EGT0138-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0138-EV-BTL01GU201-E01,DC Charger HMI
EGT0138-EV-CYA01GH001,Consumer Unit
EGT0138-EV-CYA01GN101,CCTV 1
EGT0138-EV-CYA01GN201,NVR
EGT0138-EV-CYA01GU001,UPS
HMP0139-EV,EVCS Elex @ Homepro Roi Et
HMP0139-EV-UMC01US002,Parking lot
HMP0139-EV-UMC01BB001,Fire Extinguisher 1
HMP0139-EV-AJA01GT001,Transformer
HMP0139-EV-BTL01GU201,DC Charger 125kW
HMP0139-EV-BTL01GU201-A11,DC Charger Controller
HMP0139-EV-BTL01GU201-A31,DC Charger Meter
HMP0139-EV-BTL01GU201-A51,DC Charger Charging Gun
HMP0139-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
HMP0139-EV-BTL01GU201-A91,DC Charger Power Supply
HMP0139-EV-BTL01GU201-F11,DC Charger IMD
HMP0139-EV-BTL01GU201-H01,SIM for Charger
HMP0139-EV-CYA01GN001,Router & POE Switch
HMP0139-EV-CYA01GN102,CCTV 2
EGT0129-EV-BTL01GU201-A11,DC Charger Controller
EGT0129-EV-BTL01GU201-A31,DC Charger Meter
EGT0129-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0129-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0129-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0129-EV-BTL01GU201-F11,DC Charger IMD
EGT0129-EV-BTL01GU201-H01,SIM for Charger
EGT0129-EV-CYA01GN001,Router & POE Switch
EGT0129-EV-CYA01GN102,CCTV 2
EGT0129-EV-CYA01GN301,SIM for Router
EGT0129-EV-BJB01GH001,Lighting
HMP0130,Homepro Rama 2
HMP0130-EV-UMC01US002,Parking lot
HMP0130-EV-UMC01GH002,Main Structure (AC)
HMP0130-EV-UMC01BB002,Fire Extinguisher 2
HMP0130-EV-BFA01GH001,MDB
HMP0130-EV-BTL01GU101-A51,AC Charger Charging Gun
HMP0130-EV-BTL01GU102,AC Charger 22kW 2
HMP0130-EV-BTL01GU102-H01,SIM for Charger 2
HMP0130-EV-CYA01GN001,Router & POE Switch
HMP0130-EV-CYA01GN102,CCTV 2
HMP0130-EV-CYA01GN301,SIM for Router
HMP0131-EV-UMC01BB002,Fire Extinguisher 2
HMP0131-EV-BFA01GH001,MDB
HMP0131-EV-BTL01GU201-A01,DC Charger Power Module
HMP0131-EV-BTL01GU201-A21,DC Charger Auxillary
HMP0131-EV-BTL01GU201-A41,DC Charger Filter
PTG0167-EV-CYA01GU001,UPS
PTG0168-EV,EVCS Elex @ PTG Kui Buri
PTG0169-EV-BTL01GU201-A81,DC Charger SECC
PTG0169-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0169-EV-BTL01GU201-E01,DC Charger HMI
PTG0169-EV-CYA01GH001,Consumer Unit
PTG0169-EV-CYA01GN001,Router & POE Switch
PTG0169-EV-CYA01GN101,CCTV 1
PTG0169-EV-CYA01GN102,CCTV 2
PTG0169-EV-CYA01GN201,NVR
PTG0169-EV-CYA01GN301,SIM for Router
PTG0169-EV-CYA01GU001,UPS
PTG0169-EV-BJB01GH001,Lighting
PTG0170,PTG Pak Thong Chai 2
PTG0170-EV,EVCS Elex @ PTG Pak Thong Chai 2
PTG0170-EV-UMC01US001,Main Structure
PTG0170-EV-UMC01US002,Parking lot
PTG0170-EV-UMC01BB001,Fire Extinguisher 1
PTG0170-EV-AJA01GT001,Transformer
PTG0170-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0170-EV-BTL01GU201-A81,DC Charger SECC
PTG0170-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0170-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0170-EV-BTL01GU201-F11,DC Charger IMD
PTG0170-EV-BTL01GU201-E01,DC Charger HMI
PTG0170-EV-BTL01GU201-H01,SIM for Charger
PTG0170-EV-CYA01GH001,Consumer Unit
EGT0129-EV-BTL01GU201-A81,DC Charger SECC
EGT0129-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0129-EV-BTL01GU201-E01,DC Charger HMI
EGT0129-EV-CYA01GH001,Consumer Unit
EGT0129-EV-CYA01GN101,CCTV 1
EGT0129-EV-CYA01GN201,NVR
EGT0129-EV-CYA01GU001,UPS
HMP0130-EV,EVCS Elex @ Homepro Rama 2
HMP0130-EV-UMC01GH001,Logo Sign
HMP0130-EV-UMC01BB001,Fire Extinguisher 1
HMP0130-EV-AJA01GT001,Transformer
HMP0130-EV-BTL01GU101,AC Charger 22kW 1
HMP0130-EV-BTL01GU101-H01,SIM for Charger 1
HMP0130-EV-BTL01GU102-A51,AC Charger Charging Gun
HMP0130-EV-CYA01GH001,Consumer Unit
HMP0130-EV-CYA01GN101,CCTV 1
HMP0130-EV-CYA01GN201,NVR
HMP0130-EV-CYA01GU001,UPS
HMP0130-EV-BJB01GH001,Lighting
HMP0131,Homepro Sakon Nakhon
HMP0131-EV,EVCS Elex @ Homepro Sakon Nakhon
HMP0131-EV-UMC01US001,Main Structure
HMP0131-EV-UMC01US002,Parking lot
HMP0131-EV-UMC01GH001,Logo Sign
HMP0131-EV-UMC01BB001,Fire Extinguisher 1
HMP0131-EV-AJA01GT001,Transformer
HMP0131-EV-BTL01GU201,DC Charger 125kW
HMP0131-EV-BTL01GU201-A11,DC Charger Controller
HMP0139-EV-CYA01GN301,SIM for Router
HMP0139-EV-CYA01GU001,UPS
HMP0139-EV-BJB01GH001,Lighting
HMP0140,Homepro Surin
HMP0140-EV,EVCS Elex @ Homepro Surin
HMP0140-EV-UMC01US002,Parking lot
HMP0140-EV-UMC01BB001,Fire Extinguisher 1
HMP0140-EV-AJA01GT001,Transformer
HMP0140-EV-BTL01GU201,DC Charger 125kW
HMP0140-EV-BTL01GU201-A11,DC Charger Controller
HMP0140-EV-BTL01GU201-A31,DC Charger Meter
HMP0140-EV-BTL01GU201-A51,DC Charger Charging Gun
HMP0140-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
HMP0140-EV-BTL01GU201-A91,DC Charger Power Supply
HMP0140-EV-BTL01GU201-F11,DC Charger IMD
HMP0140-EV-BTL01GU201-H01,SIM for Charger
HMP0140-EV-CYA01GN001,Router & POE Switch
HMP0140-EV-CYA01GN102,CCTV 2
HMP0140-EV-CYA01GN301,SIM for Router
HMP0140-EV-BJB01GH001,Lighting
EGT0141,EGAT Porto Chino Samut Sakhon
EGT0141-EV-UMC01US001,Main Structure
EGT0141-EV-UMC01GH001,Logo Sign
EGT0141-EV-UMC01BB002,Fire Extinguisher 2
EGT0141-EV-BFA01GH001,MDB
EGT0141-EV-BTL01GU201,DC Charger 125kW
EGT0141-EV-BTL01GU201-A01,DC Charger Power Module
HMP0131-EV-BTL01GU201-A61,DC Charger Contactor
EGT0132-EV-UMC01US002,Parking lot
EGT0132-EV-UMC01BB002,Fire Extinguisher 2
EGT0132-EV-BTL01GU201,DC Charger 125kW
EGT0135-EV-BTL01GU103-H01,SIM for Charger 3
EGT0135-EV-BTL01GU201-A01,DC Charger Power Module
HMP0142-EV-BTL01GU201,DC Charger 125kW
HMP0142-EV-BTL01GU201-A11,DC Charger Controller
HMP0142-EV-BTL01GU201-A31,DC Charger Meter
HMP0142-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0145-EV-UMC01US002,Parking lot
EGT0145-EV-UMC01BB001,Fire Extinguisher 1
EGT0145-EV-AJA01GT001,Transformer
EGT0145-EV-BTL01GU201-A01,DC Charger Power Module
EGT0145-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0145-EV-CYA01GH001,Consumer Unit
HMP0146-EV-BTL01GU201-H01,SIM for Charger
HMP0146-EV-CYA01GN001,Router & POE Switch
HMP0146-EV-CYA01GN102,CCTV 2
HMP0146-EV-CYA01GN301,SIM for Router
HMP0146-EV-BJB01GH001,Lighting
HMP0147,HomePro Loei
HMP0147-EV-UMC01US001,Main Structure
HMP0147-EV-UMC01GH001,Logo Sign
HMP0147-EV-UMC01BB002,Fire Extinguisher 2
HMP0147-EV-BFA01GH001,MDB
HMP0147-EV-BTL01GU201-A01,DC Charger Power Module
EGT0107-EV-AJA01GT001,Transformer
EGT0107-EV-BTL01GU101,AC Charger 7.4kW 1
EGT0109-EV-UMC01US002,Parking lot
EGT0109-EV-UMC01GH002,Main Structure (AC)
EGT0109-EV-UMC01BB002,Fire Extinguisher 2
EGT0109-EV-BFA01GH001,MDB
EGT0109-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0109-EV-CYA01GH001,Consumer Unit
EGT0109-EV-CYA01GN101,CCTV 1
EGT0109-EV-CYA01GN201,NVR
EGT0109-EV-CYA01GU001,UPS
EGT0110-EV,EVCS Elex @ Sirikit Dam (Parking)
EGT0110-EV-UMC01GH001,Logo Sign
EGT0110-EV-UMC01BB001,Fire Extinguisher 1
EGT0110-EV-AJA01GT001,Transformer
EGT0110-EV-BTL01GU101,AC Charger 7.4kW 1
EGT0110-EV-BTL01GU101-H01,SIM for Charger
EGT0110-EV-CYA01GN001,Router & POE Switch
EGT0110-EV-CYA01GN102,CCTV 2
EGT0110-EV-CYA01GN301,SIM for Router
EGT0110-EV-BJB01GH001,Lighting
EGT0111,EGAT Vajiralongkorn Dam (Parking)
EGT0111-EV-UMC01US002,Parking lot
EGT0111-EV-UMC01GH002,Main Structure (AC)
EGT0111-EV-UMC01BB002,Fire Extinguisher 2
EGT0111-EV-BFA01GH001,MDB
EGT0111-EV-BTL01GU101-A51,AC Charger Charging Gun
HMP0131-EV-BTL01GU201-A31,DC Charger Meter
HMP0131-EV-BTL01GU201-A51,DC Charger Charging Gun
HMP0131-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
HMP0131-EV-BTL01GU201-A81,DC Charger SECC
HMP0131-EV-BTL01GU201-F11,DC Charger IMD
HMP0131-EV-CYA01GH001,Consumer Unit
HMP0131-EV-CYA01GN102,CCTV 2
HMP0131-EV-CYA01GU001,UPS
EGT0132,EGAT Siri Regent Hotel Nakhon Phanom
EGT0132-EV-UMC01GH001,Logo Sign
EGT0132-EV-AJA01GT001,Transformer
EGT0132-EV-BFA01GH001,MDB
EGT0132-EV-BJB01GH001,Lighting
EGT0133,EGAT KFC Chachoengsao
EGT0133-EV-UMC01US001,Main Structure
EGT0133-EV-UMC01GH001,Logo Sign
EGT0133-EV-UMC01BB002,Fire Extinguisher 2
EGT0133-EV-BFA01GH001,MDB
EGT0133-EV-BTL01GU201-A01,DC Charger Power Module
EGT0133-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0133-EV-BTL01GU201-A41,DC Charger Filter
EGT0133-EV-BTL01GU201-A61,DC Charger Contactor
EGT0133-EV-BTL01GU201-A81,DC Charger SECC
EGT0133-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0133-EV-BTL01GU201-E01,DC Charger HMI
EGT0133-EV-CYA01GH001,Consumer Unit
EGT0133-EV-CYA01GN101,CCTV 1
EGT0141-EV-BTL01GU201-A11,DC Charger Controller
EGT0141-EV-BTL01GU201-A21,DC Charger Auxillary
EGT0141-EV-BTL01GU201-A31,DC Charger Meter
EGT0141-EV-BTL01GU201-A41,DC Charger Filter
EGT0141-EV-BTL01GU201-A51,DC Charger Charging Gun
EGT0141-EV-BTL01GU201-A61,DC Charger Contactor
EGT0141-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
EGT0141-EV-BTL01GU201-A81,DC Charger SECC
EGT0141-EV-BTL01GU201-A91,DC Charger Power Supply
EGT0141-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0141-EV-BTL01GU201-F11,DC Charger IMD
EGT0141-EV-BTL01GU201-E01,DC Charger HMI
EGT0141-EV-BTL01GU201-H01,SIM for Charger
EGT0141-EV-CYA01GH001,Consumer Unit
EGT0141-EV-CYA01GN001,Router & POE Switch
EGT0141-EV-CYA01GN101,CCTV 1
EGT0141-EV-CYA01GN102,CCTV 2
EGT0141-EV-CYA01GN201,NVR
EGT0141-EV-CYA01GN301,SIM for Router
EGT0141-EV-CYA01GU001,UPS
EGT0141-EV-BJB01GH001,Lighting
HMP0142,HomePro Phrae
HMP0142-EV,EVCS Elex @ Homepro Phrae
HMP0142-EV-UMC01US001,Main Structure
HMP0142-EV-UMC01US002,Parking lot
HMP0142-EV-UMC01GH001,Logo Sign
HMP0142-EV-UMC01BB001,Fire Extinguisher 1
HMP0147-EV-BTL01GU201-A21,DC Charger Auxillary
HMP0147-EV-BTL01GU201-A41,DC Charger Filter
HMP0147-EV-BTL01GU201-A61,DC Charger Contactor
HMP0147-EV-BTL01GU201-A81,DC Charger SECC
EGT0148-EV-BTL01GU201-F01,DC Charger DC Fuse
EGT0148-EV-BTL01GU201-E01,DC Charger HMI
EGT0148-EV-CYA01GH001,Consumer Unit
EGT0148-EV-CYA01GN101,CCTV 1
EGT0148-EV-CYA01GN201,NVR
EGT0148-EV-CYA01GU001,UPS
HMP0149-EV,EVCS Elex @ Homepro Srinakarin
HMP0149-EV-UMC01GH001,Logo Sign
HMP0149-EV-UMC01BB001,Fire Extinguisher 1
EGT0156-EV-BTL01GU102-H01,SIM for Charger 2
EGT0156-EV-CYA01GN001,Router & POE Switch
EGT0156-EV-CYA01GN102,CCTV 2
EGT0156-EV-CYA01GN301,SIM for Router
EGT0156-EV-BJB01GH001,Lighting
EGT0157,EGAT Mae On Learning Center
EGT0157-EV-UMC01US001,Main Structure
EGT0157-EV-UMC01GH001,Logo Sign
EGT0157-EV-UMC01BB002,Fire Extinguisher 2
EGT0157-EV-BTL01GU101,AC Charger 22kW 1
EGT0157-EV-BTL01GU101-H01,SIM for Charger 1
EGT0157-EV-BTL01GU102-A51,AC Charger Charging Gun
EGT0157-EV-CYA01GH001,Consumer Unit
EGT0157-EV-CYA01GN001,Router & POE Switch
EGT0111-EV-CYA01GH001,Consumer Unit
EGT0111-EV-CYA01GN101,CCTV 1
EGT0111-EV-CYA01GN201,NVR
EGT0111-EV-CYA01GU001,UPS
EGT0112-EV,EVCS Elex @ Ratchaprapha Dam (Parking)
EGT0112-EV-UMC01GH001,Logo Sign
EGT0112-EV-UMC01BB001,Fire Extinguisher 1
EGT0112-EV-AJA01GT001,Transformer
EGT0112-EV-BTL01GU101,AC Charger 7.4kW 1
EGT0112-EV-BTL01GU101-H01,SIM for Charger
EGT0113,EGAT Ubonrat Dam (Parking)
EGT0114-EV-UMC01GH001,Logo Sign
EGT0115-EV-CYA01GN102,CCTV 2
EGT0115-EV-CYA01GN301,SIM for Router
EGT0115-EV-BJB01GH001,Lighting
EGT0116,EGAT North Bangkok Power Plant (Parking)
EGT0116-EV-UMC01US002,Parking lot
EGT0116-EV-UMC01GH002,Main Structure (AC)
EGT0116-EV-UMC01BB002,Fire Extinguisher 2
EGT0116-EV-BFA01GH001,MDB
EGT0116-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0117-EV-BTL01GU101,AC Charger 7.4kW 1
EGT0117-EV-BTL01GU101-H01,SIM for Charger
EGT0117-EV-CYA01GN001,Router & POE Switch
EGT0117-EV-CYA01GN102,CCTV 2
EGT0117-EV-CYA01GN301,SIM for Router
EGT0117-EV-BJB01GH001,Lighting
EGT0118,"EGAT Mae Moh Mine, Administraction Division (Parking)"
PTG0092-EV-CYA01GN101,CCTV 1
PTG0093,PTG Khuraburi 1
PTG0093-EV-AJA01GT001,Transformer
PTG0094-EV-BJB01GH001,Lighting
PTG0095,PTG Uttaradit 5
PTG0095-EV-UMC01US001,Main Structure
HMP0096-EV-BTL01GU102,AC Charger 22kW 2
HMP0096-EV-BTL01GU102-H01,SIM for Charger 2
HMP0096-EV-CYA01GN001,Router & POE Switch
HMP0096-EV-CYA01GN102,CCTV 2
HMP0096-EV-CYA01GN301,SIM for Router
HMP0096-EV-BJB01GH001,Lighting
HMP0097,Homepro Ratchaphruek
HMP0097-EV-UMC01US002,Parking lot
HMP0097-EV-UMC01GH002,Main Structure (AC)
HMP0097-EV-UMC01BB002,Fire Extinguisher 2
HMP0097-EV-BFA01GH001,MDB
HMP0097-EV-BTL01GU101-A51,AC Charger Charging Gun
HMP0097-EV-BTL01GU102,AC Charger 22kW 2
HMP0097-EV-BTL01GU102-H01,SIM for Charger 2
HMP0097-EV-CYA01GN001,Router & POE Switch
HMP0097-EV-CYA01GN102,CCTV 2
HMP0097-EV-CYA01GN301,SIM for Router
HMP0098-EV-BFA01GH001,MDB
HMP0098-EV-BTL01GU101-A51,AC Charger Charging Gun
HMP0098-EV-BTL01GU102,AC Charger 22kW 2
HMP0098-EV-BTL01GU102-H01,SIM for Charger 2
HMP0098-EV-BTL01GU103-A51,AC Charger Charging Gun
HMP0142-EV-UMC01BB002,Fire Extinguisher 2
HMP0142-EV-AJA01GT001,Transformer
HMP0142-EV-BFA01GH001,MDB
HMP0142-EV-BTL01GU201-A01,DC Charger Power Module
HMP0142-EV-BTL01GU201-A21,DC Charger Auxillary
HMP0142-EV-BTL01GU201-A41,DC Charger Filter
HMP0142-EV-BTL01GU201-A61,DC Charger Contactor
HMP0142-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
HMP0142-EV-BTL01GU201-A81,DC Charger SECC
HMP0142-EV-BTL01GU201-A91,DC Charger Power Supply
HMP0142-EV-BTL01GU201-F01,DC Charger DC Fuse
HMP0142-EV-BTL01GU201-F11,DC Charger IMD
HMP0142-EV-BTL01GU201-E01,DC Charger HMI
HMP0142-EV-BTL01GU201-H01,SIM for Charger
HMP0142-EV-CYA01GH001,Consumer Unit
HMP0142-EV-CYA01GN001,Router & POE Switch
HMP0142-EV-CYA01GN101,CCTV 1
HMP0142-EV-CYA01GN102,CCTV 2
HMP0142-EV-CYA01GN201,NVR
HMP0142-EV-CYA01GN301,SIM for Router
HMP0142-EV-CYA01GU001,UPS
HMP0142-EV-BJB01GH001,Lighting
HMP0143,HomePro Ratchaburi
HMP0143-EV,EVCS Elex @ HomePro Ratchaburi
HMP0143-EV-UMC01US001,Main Structure
HMP0143-EV-UMC01US002,Parking lot
HMP0143-EV-UMC01GH001,Logo Sign
EGT0157-EV-CYA01GN101,CCTV 2
EGT0157-EV-CYA01GN201,NVR
EGT0157-EV-CYA01GN301,SIM for Router
EGT0157-EV-CYA01GU001,UPS
EGT0157-EV-BJB01GH001,Lighting
PTG0158,PTG Rama 2 inbound
PTG0158-EV,EVCS Elex @ PTG Rama 2 inbound
PTG0158-EV-UMC01US002,Parking lot
PTG0158-EV-UMC01BB001,Fire Extinguisher 1
PTG0158-EV-AJA01GT001,Transformer
PTG0158-EV-BTL01GU201,DC Charger 125kW
PTG0158-EV-BTL01GU201-A11,DC Charger Controller
PTG0158-EV-BTL01GU201-A31,DC Charger Meter
PTG0158-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0158-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0158-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0158-EV-BTL01GU201-F11,DC Charger IMD
PTG0158-EV-BTL01GU201-H01,SIM for Charger
PTG0158-EV-CYA01GN001,Router & POE Switch
PTG0158-EV-CYA01GN102,CCTV 2
PTG0158-EV-CYA01GN301,SIM for Router
PTG0158-EV-BJB01GH001,Lighting
HMP0159,Homepro Rangsit
HMP0159-EV-UMC01US002,Parking lot
HMP0159-EV-UMC01GH002,Main Structure (AC)
HMP0159-EV-UMC01BB002,Fire Extinguisher 2
HMP0159-EV-BFA01GH001,MDB
EGT0118-EV-UMC01US002,Parking lot
EGT0118-EV-UMC01GH002,Main Structure (AC)
EGT0118-EV-UMC01BB002,Fire Extinguisher 2
EGT0118-EV-BFA01GH001,MDB
EGT0118-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0118-EV-CYA01GH001,Consumer Unit
EGT0118-EV-CYA01GN101,CCTV 1
EGT0120-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0120-EV-CYA01GH001,Consumer Unit
EGT0120-EV-CYA01GN101,CCTV 1
EGT0120-EV-CYA01GN201,NVR
EGT0120-EV-CYA01GU001,UPS
EGT0121-EV,"EVCS Elex @ Mae Moh Power Plant, Maintenance Division (Parking)"
EGT0121-EV-UMC01GH001,Logo Sign
EGT0121-EV-UMC01BB001,Fire Extinguisher 1
EGT0121-EV-AJA01GT001,Transformer
EGT0121-EV-BTL01GU101,AC Charger 7.4kW 1
EGT0121-EV-BTL01GU101-H01,SIM for Charger
EGT0121-EV-CYA01GN001,Router & POE Switch
EGT0121-EV-CYA01GN102,CCTV 2
EGT0121-EV-CYA01GN301,SIM for Router
EGT0121-EV-BJB01GH001,Lighting
EGT0122,"EGAT Sai Noi Office, Mechanical Maintenance Division (Parking)"
EGT0122-EV-UMC01US002,Parking lot
EGT0122-EV-UMC01GH002,Main Structure (AC)
EGT0122-EV-UMC01BB002,Fire Extinguisher 2
EGT0122-EV-BFA01GH001,MDB
PTG0091-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0091-EV-BTL01GU201-F11,DC Charger IMD
PTG0091-EV-BTL01GU201-H01,SIM for Charger
PTG0091-EV-CYA01GN001,Router & POE Switch
PTG0091-EV-CYA01GN102,CCTV 2
PTG0091-EV-CYA01GN301,SIM for Router
PTG0091-EV-BJB01GH001,Lighting
PTG0092,PTG Phayao
PTG0092-EV-UMC01US001,Main Structure
PTG0092-EV-UMC01GH001,Logo Sign
PTG0092-EV-UMC01BB002,Fire Extinguisher 2
PTG0092-EV-BFA01GH001,MDB
PTG0092-EV-BTL01GU201-A01,DC Charger Power Module
PTG0092-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0092-EV-BTL01GU201-A41,DC Charger Filter
PTG0092-EV-BTL01GU201-A61,DC Charger Contactor
PTG0092-EV-BJB01GH001,Lighting
PTG0093-EV-UMC01BB001,Fire Extinguisher 1
PTG0095-EV-CYA01GN001,Router & POE Switch
PTG0095-EV-CYA01GN102,CCTV 2
PTG0095-EV-CYA01GN301,SIM for Router
PTG0095-EV-BJB01GH001,Lighting
HMP0096,Homepro Chaiyapruek
HMP0096-EV-UMC01US002,Parking lot
HMP0096-EV-UMC01GH002,Main Structure (AC)
HMP0096-EV-UMC01BB002,Fire Extinguisher 2
HMP0096-EV-BFA01GH001,MDB
HMP0143-EV-UMC01BB001,Fire Extinguisher 1
HMP0143-EV-UMC01BB002,Fire Extinguisher 2
HMP0143-EV-AJA01GT001,Transformer
HMP0143-EV-BFA01GH001,MDB
HMP0143-EV-BTL01GU201,DC Charger 125kW
HMP0143-EV-BTL01GU201-A01,DC Charger Power Module
HMP0143-EV-BTL01GU201-A11,DC Charger Controller
HMP0143-EV-BTL01GU201-A21,DC Charger Auxillary
HMP0143-EV-BTL01GU201-A31,DC Charger Meter
HMP0143-EV-BTL01GU201-A41,DC Charger Filter
HMP0143-EV-BTL01GU201-A51,DC Charger Charging Gun
HMP0143-EV-BTL01GU201-A61,DC Charger Contactor
HMP0143-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
HMP0143-EV-BTL01GU201-A81,DC Charger SECC
HMP0143-EV-BTL01GU201-A91,DC Charger Power Supply
HMP0143-EV-BTL01GU201-F01,DC Charger DC Fuse
HMP0143-EV-BTL01GU201-F11,DC Charger IMD
HMP0143-EV-BTL01GU201-E01,DC Charger HMI
HMP0143-EV-BTL01GU201-H01,SIM for Charger
HMP0143-EV-CYA01GH001,Consumer Unit
HMP0143-EV-CYA01GN001,Router & POE Switch
HMP0143-EV-CYA01GN101,CCTV 1
HMP0143-EV-CYA01GN102,CCTV 2
HMP0143-EV-CYA01GN201,NVR
HMP0143-EV-CYA01GN301,SIM for Router
HMP0143-EV-CYA01GU001,UPS
HMP0143-EV-BJB01GH001,Lighting
EGT0154-EV-UMC01US002,Parking lot
EGT0154-EV-UMC01BB001,Fire Extinguisher 1
EGT0154-EV-BFA01GH001,MDB
EGT0154-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0154-EV-BTL01GU102,AC Charger 22kW 2
HMP0159-EV-BTL01GU101-A51,AC Charger Charging Gun
HMP0159-EV-BTL01GU101-H01,SIM for Charger 1
HMP0159-EV-BTL01GU102,AC Charger 22kW 2
HMP0159-EV-BTL01GU102-A51,AC Charger Charging Gun
HMP0159-EV-BTL01GU102-H01,SIM for Charger 2
HMP0159-EV-CYA01GH001,Consumer Unit
HMP0159-EV-CYA01GN001,Router & POE Switch
HMP0159-EV-CYA01GN101,CCTV 1
HMP0159-EV-CYA01GN102,CCTV 2
HMP0159-EV-CYA01GN201,NVR
HMP0159-EV-CYA01GN301,SIM for Router
HMP0159-EV-CYA01GU001,UPS
HMP0159-EV-BJB01GH001,Lighting
HMP0160,Homepro Phuket
HMP0160-EV,EVCS Elex @ Homepro Phuket
HMP0160-EV-UMC01US002,Parking lot
HMP0160-EV-UMC01GH001,Logo Sign
HMP0160-EV-UMC01GH002,Main Structure (AC)
HMP0160-EV-UMC01BB001,Fire Extinguisher 1
HMP0160-EV-UMC01BB002,Fire Extinguisher 2
HMP0160-EV-AJA01GT001,Transformer
HMP0160-EV-BFA01GH001,MDB
HMP0160-EV-BTL01GU101,AC Charger 22kW 1
EGT0122-EV-CYA01GN301,SIM for Router
EGT0122-EV-BJB01GH001,Lighting
EGT0123,"EGAT Sai Noi Office, Electrical Maintenance Division (Parking)"
EGT0123-EV-UMC01US002,Parking lot
EGT0123-EV-UMC01GH002,Main Structure (AC)
EGT0123-EV-UMC01BB002,Fire Extinguisher 2
EGT0123-EV-BFA01GH001,MDB
EGT0123-EV-BTL01GU101-A51,AC Charger Charging Gun
EGT0123-EV-CYA01GH001,Consumer Unit
EGT0123-EV-CYA01GN101,CCTV 1
EGT0123-EV-CYA01GN201,NVR
EGT0123-EV-CYA01GU001,UPS
EGT0124-EV,"EVCS Elex @ Sai Noi Office, Civil Maintenance Division (Parking)"
EGT0124-EV-UMC01GH001,Logo Sign
EGT0124-EV-UMC01BB001,Fire Extinguisher 1
EGT0124-EV-AJA01GT001,Transformer
EGT0124-EV-BTL01GU101,AC Charger 7.4kW 1
EGT0124-EV-BTL01GU101-H01,SIM for Charger
EGT0124-EV-CYA01GN001,Router & POE Switch
EGT0124-EV-CYA01GN102,CCTV 2
EGT0124-EV-CYA01GN301,SIM for Router
EGT0124-EV-BJB01GH001,Lighting
EGT0125,"EGAT Sai Noi Office, Chemistry Division (Parking)"
EGT0125-EV-UMC01US002,Parking lot
EGT0125-EV-UMC01GH002,Main Structure (AC)
EGT0125-EV-UMC01BB002,Fire Extinguisher 2
EGT0125-EV-BFA01GH001,MDB
PTG0092-EV-BTL01GU201-A81,DC Charger SECC
PTG0092-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0092-EV-BTL01GU201-E01,DC Charger HMI
PTG0092-EV-CYA01GH001,Consumer Unit
PTG0092-EV-CYA01GU001,UPS
PTG0093-EV-UMC01GH001,Logo Sign
PTG0093-EV-BTL01GU201,DC Charger 125kW
PTG0093-EV-CYA01GU001,UPS
PTG0094-EV,EVCS Elex @ PTG Bang Pla Ma 2
PTG0094-EV-UMC01US002,Parking lot
HMP0096-EV-BTL01GU101-A51,AC Charger Charging Gun
HMP0096-EV-BTL01GU102-A51,AC Charger Charging Gun
HMP0096-EV-CYA01GH001,Consumer Unit
HMP0096-EV-CYA01GN101,CCTV 1
HMP0096-EV-CYA01GN201,NVR
HMP0096-EV-CYA01GU001,UPS
HMP0097-EV,EVCS Elex @ Homepro Ratchaphruek
HMP0097-EV-UMC01GH001,Logo Sign
HMP0097-EV-UMC01BB001,Fire Extinguisher 1
HMP0097-EV-AJA01GT001,Transformer
HMP0097-EV-BTL01GU101,AC Charger 22kW 1
