location,description
PTG0003-EV-UMC01BB001,Fire Extinguisher 1
ZOO0001-ES-CYE10,Protection System (Fire Fighter Switch)
PTG0003-EV-UMC01BB002,Fire Extinguisher 2
PTG0003-EV-AJA01GT001,Transformer
PTG0003-EV-BFA01GH001,MDB
PTG0003-EV-BTL01GU201,DC Charger 120kW
PTG0003-EV-BTL01GU201-A01,DC Charger Power Module
PTG0003-EV-BTL01GU201-A11,DC Charger Controller
PTG0003-EV-BTL01GU201-A21,DC Charger Auxillary
PTG0003-EV-BTL01GU201-A31,DC Charger Meter
ZOO0001-ES-CYE12CH001,INV SYS 1 - INV 2 - FFS1
ZOO0001-ES-WAC11GH101-A10,DC Combiner box-String 10
ZOO0001-ES-WAC12GH101-A06,DC Combiner box-String 6
ZOO0001-ES-WAC21GH101-A04,DC Combiner box-String 4
ZOO0001-ES-WAC22GU001,Inverter No.2
ZOO0001-ES-WAC22GH101-A01,DC Combiner box-String 1
ZOO0001-ES-WAC22GH101-A07,DC Combiner box-String 7
ZOO0001-ES-WAC31GH101-A03,DC Combiner box-String 3
ZOO0001-ES-WAC31GH101-A05,DC Combiner box-String 5
ZOO0001-ES-WAC31GU001,Inverter No.1
ZOO0001-ES-WAC31GH101-A10,DC Combiner box-String 10
ES_SPARE,ES Spart Part
ES_TOOLS,ES Storeroom Tools
ES_BORROW,คลังยืม ES
EP_BORROW,คลังยืม EP
ZOO0001-ES-CYE21CH001,INV SYS 2 - INV 1 - FFS1
ZOO0001-ES-CYE22CH002,INV SYS 2 - INV 2 - FFS2
ABC-ES,Training 1234
PAKCHONG002,EleX by EGAT PT Pak Chong  2
DMK,599055-Donmuang International Airport 888
PTG0003-EV-BTL01GU201-A41,DC Charger Filter
PTG0003-EV-BTL01GU201-A51,DC Charger Charging Gun
PTG0003-EV-BTL01GU201-A61,DC Charger Contactor
PTG0003-EV-BTL01GU201-A71,DC Charger Breaker (CB DS MS RCD)
PTG0003-EV-BTL01GU201-A81,DC Charger SECC
PTG0003-EV-BTL01GU201-A91,DC Charger Power Supply
PTG0003-EV-BTL01GU201-F01,DC Charger DC Fuse
PTG0003-EV-BTL01GU201-F11,DC Charger IMD
PTG0003-EV-BTL01GU201-E01,DC Charger HMI
ZOO0001-ES-WAC11GH101-A01,DC Combiner box-String 1
ZOO0001-ES-WAC11GH101-A04,DC Combiner box-String 4
EP_TEST2,TestTest
UAT0001-AA,Location ทดสอบ ทดสอบ
EV_SPARE_02,Test storerooms
LAMPHUN002,EleXA PT Lamphun 2
SMT_UAT,SMT
ZOO0001-ES-1234,UAT 1234
๋JAME01,598065-LocationHello
KTP,597082 - Location
PTG0001,PTG Khao Yoi 1
PTG0003-EV-BTL01GU201-H01,SIM for Charger
PTG0003-EV-CYA01GH001,Consumer Unit
PTG0003-EV-CYA01GN001,Router & POE Switch
ZOO0001-ES-CYE31CH002,INV SYS 3 - INV 1 - FFS2
ZOO0001-ES-BFA01GH001,AC Combiner box
ZOO0001-ES-BFA02,MDB #2
ZOO0001-ES-BFA02GH001,AC Combiner box
ZOO0001-ES-BFA02GH001-A01,AC Combiner box- Circuit breaker
ZOO0001-ES-BFA02GH001-A03,Power Meter
ZOO0001-ES-BFA03GH001-A02,AC Combiner box- Surge
ZOO0001-ES-WAY00QB001,Pyranometer
ZOO0001-ES-WAQ00QA002,Inverter Enclosure
ZOO0001-ES-WAQ12GV001,DC Grounding INV2
ZOO0001-ES-WAQ21GV001,DC Grounding INV1
ZOO0001-ES-CYW00GN002,Sim
ZOO0001-ES-CYW00GU002,LAN Cable
ZOO0001-ES-CYW00GW001,Power Supply
ZOO0001-ES-GAD00BB001,Water Storage Tank
PTG0003-EV-CYA01GN101,CCTV 1
ZOO0001-ES-BFA03,MDB #3
ZOO0001-ES-WAY00,Instrument System
ZOO0001-ES-WAQ10,DC Grounding System INV SYS 1
ZOO0001-ES-WAQ30,DC Grounding System INV SYS 3
ZOO0001-ES-CYW00GU001,Media Converter
